Thread 1: 13:20:43.217193600, Counter: 142
Thread 2: 13:20:43.422289900, Counter: 142
Thread 1: 13:20:43.478285700, Counter: 143
Thread 3: 13:20:43.494280500, Counter: 143
Thread 1: 13:20:43.732613100, Counter: 144
Thread 2: 13:20:43.931907, Counter: 144
Thread 1: 13:20:43.998409800, Counter: 145
Thread 1: 13:20:44.252569100, Counter: 146
Thread 2: 13:20:44.447207400, Counter: 146
Thread 3: 13:20:44.497080500, Counter: 146
Thread 1: 13:20:44.513715400, Counter: 147
Thread 1: 13:20:44.765489500, Counter: 148
Thread 2: 13:20:44.962494700, Counter: 148
Thread 1: 13:20:45.028987600, Counter: 149
Thread 1: 13:20:45.280456700, Counter: 150
Thread 2: 13:20:45.477811600, Counter: 150
Thread 3: 13:20:45.511027, Counter: 150
Thread 1: 13:20:45.544284900, Counter: 151
Thread 1: 13:20:45.802810200, Counter: 152
Thread 2: 13:20:45.993048400, Counter: 152
Thread 1: 13:20:46.059595500, Counter: 153
Thread 1: 13:20:46.309709400, Counter: 154
Thread 2: 13:20:46.508166800, Counter: 154
Thread 3: 13:20:46.526279500, Counter: 154
Thread 1: 13:20:46.575196900, Counter: 155
Thread 1: 13:20:46.839790100, Counter: 156
Thread 2: 13:20:47.015784100, Counter: 156
Thread 1: 13:20:47.091801700, Counter: 157
Thread 1: 13:20:47.356909900, Counter: 158
Thread 2: 13:20:47.521845100, Counter: 158
Thread 3: 13:20:47.538404400, Counter: 158
Thread 1: 13:20:47.622000700, Counter: 159
Thread 1: 13:20:47.887993100, Counter: 160
Thread 2: 13:20:48.029549, Counter: 160
Thread 1: 13:20:48.153972400, Counter: 161
Thread 1: 13:20:48.419817400, Counter: 162
Thread 2: 13:20:48.536759800, Counter: 162
Thread 3: 13:20:48.552947500, Counter: 162
Thread 1: 13:20:48.685878, Counter: 163
Thread 1: 13:20:48.951835300, Counter: 164
Thread 2: 13:20:49.051741700, Counter: 164
Thread 1: 13:20:49.217518300, Counter: 165
Thread 1: 13:20:49.483807900, Counter: 166
Thread 2: 13:20:49.567311200, Counter: 166
Thread 3: 13:20:49.568378500, Counter: 166
Thread 1: 13:20:49.749753300, Counter: 167
Thread 1: 13:20:50.016780400, Counter: 168
Thread 2: 13:20:50.074020200, Counter: 168
Thread 1: 13:20:50.275593600, Counter: 169
Thread 1: 13:20:50.530528700, Counter: 170
Thread 3: 13:20:50.580627800, Counter: 170
Thread 2: 13:20:50.581186200, Counter: 170
Thread 1: 13:20:50.797315600, Counter: 171
Thread 1: 13:20:51.063036, Counter: 172
Thread 2: 13:20:51.096185700, Counter: 172
Thread 1: 13:20:51.329119300, Counter: 173
Thread 1: 13:20:51.595563100, Counter: 174
Thread 3: 13:20:51.596446500, Counter: 174
Thread 2: 13:20:51.612043200, Counter: 174
Thread 1: 13:20:51.860935800, Counter: 175
Thread 2: 13:20:52.127012700, Counter: 175
Thread 1: 13:20:52.127990, Counter: 176
Thread 1: 13:20:52.393368900, Counter: 177
Thread 3: 13:20:52.608855500, Counter: 177
Thread 2: 13:20:52.643477200, Counter: 177
Thread 1: 13:20:52.659133400, Counter: 178
Thread 1: 13:20:52.925034800, Counter: 179
Thread 2: 13:20:53.157427400, Counter: 179
Thread 1: 13:20:53.190685400, Counter: 180
Thread 1: 13:20:53.448665900, Counter: 181
Thread 3: 13:20:53.615415, Counter: 181
Thread 2: 13:20:53.671400800, Counter: 181
Thread 1: 13:20:53.703398200, Counter: 182
Thread 1: 13:20:53.955185, Counter: 183
Thread 2: 13:20:54.187901600, Counter: 183
Thread 1: 13:20:54.221143400, Counter: 184
Thread 1: 13:20:54.487069600, Counter: 185
Thread 3: 13:20:54.625846500, Counter: 185
Thread 2: 13:20:54.699482, Counter: 185
Thread 1: 13:20:54.739668100, Counter: 186
Thread 1: 13:20:55.002383900, Counter: 187
Thread 2: 13:20:55.201847100, Counter: 187
Thread 1: 13:20:55.268340300, Counter: 188
Thread 1: 13:20:55.534313, Counter: 189
Thread 3: 13:20:55.634052900, Counter: 189
Thread 2: 13:20:55.717151400, Counter: 189
Thread 1: 13:20:55.800173, Counter: 190
Thread 1: 13:20:56.066104200, Counter: 191
Thread 2: 13:20:56.232433300, Counter: 191
Thread 1: 13:20:56.331928700, Counter: 192
Thread 1: 13:20:56.598128800, Counter: 193
Thread 3: 13:20:56.648082800, Counter: 193
Thread 2: 13:20:56.747727100, Counter: 193
Thread 1: 13:20:56.863458400, Counter: 194
Thread 1: 13:20:57.120323, Counter: 195
Thread 2: 13:20:57.249555300, Counter: 195
Thread 1: 13:20:57.379465, Counter: 196
